u,strategy,ψ_u_T,ψ_u_T_low,ψ_u_T_up,V_u_T,V_u_T_low,V_u_T_up,p,t
10000,ES,0.97352,0.9721126746252206,0.9749273253747796,102327.62928925922,94437.0008205361,110218.25775798234,0.1,336
60000,ES,0.68598,0.6819118451978081,0.690048154802192,1202663.1795749033,1178071.383080625,1227254.9760691817,0.1,336
110000,ES,0.48066,0.47628066703065713,0.4850393329693428,2019990.4276809967,1990080.4484523726,2049900.4069096209,0.1,336
160000,ES,0.33552000000000004,0.3313813066207237,0.3396586933792764,2615916.0894470504,2583629.276073712,2648202.902820389,0.1,336
210000,ES,0.23475999999999997,0.23104487038002636,0.23847512961997358,3032450.600498762,2999094.8339309967,3065806.3670665273,0.1,336
260000,ES,0.16390000000000005,0.16065524674064394,0.16714475325935615,3347555.4826858924,3313698.9886269076,3381411.976744877,0.1,336
310000,ES,0.11436000000000002,0.11157048453272699,0.11714951546727305,3582852.419685481,3548770.780341483,3616934.059029479,0.1,336
360000,ES,0.08006000000000002,0.07768123996629171,0.08243876003370833,3757847.4988314356,3723693.348219743,3792001.649443128,0.1,336
410000,ES,0.05589999999999995,0.05388637779541783,0.05791362220458207,3899672.559817287,3865477.4231813103,3933867.696453264,0.1,336
460000,ES,0.03939999999999999,0.03769477185971813,0.04110522814028185,4009059.1768438923,3974857.6113041504,4043260.742383634,0.1,336
510000,ES,0.027819999999999956,0.026378498851072678,0.029261501148927234,4102600.692618474,4068396.4030226446,4136804.982214303,0.1,336
560000,ES,0.019399999999999973,0.018191045661079687,0.02060895433892026,4184311.5828794944,4150104.877848299,4218518.28791069,0.1,336
610000,ES,0.014079999999999981,0.013047273658577217,0.015112726341422746,4253848.523175415,4219630.367628202,4288066.678722627,0.1,336
660000,ES,0.009820000000000051,0.008955677322689825,0.010684322677310277,4321309.116507527,4287099.076283934,4355519.156731121,0.1,336
710000,ES,0.006979999999999986,0.006250257234936609,0.007709742765063364,4382686.910729341,4348494.3881286,4416879.433330082,0.1,336
760000,ES,0.0049599999999999644,0.004344221960162239,0.0055757780398376896,4440120.861561581,4405933.467819347,4474308.255303814,0.1,336
810000,ES,0.0035600000000000076,0.003037948119644019,0.004082051880355996,4494763.607159853,4460580.766105803,4528946.448213903,0.1,336
860000,ES,0.0027399999999999647,0.002281813203322899,0.0031981867966770303,4547329.232146441,4513152.254107857,4581506.210185025,0.1,336
910000,ES,0.0018000000000000238,0.0014284578206806234,0.002171542179319424,4600364.427908502,4566196.44580466,4634532.410012343,0.1,336
960000,ES,0.0012999999999999678,0.000984170792943519,0.0016158292070564168,4651736.461430259,4617572.173302528,4685900.74955799,0.1,336
10000,AG,0.97592,0.9745763119980115,0.9772636880019885,369086.6413767107,340602.8765965019,397570.40615691943,0.25,336
60000,AG,0.62172,0.6174692339998947,0.6259707660001054,5963928.775331919,5856082.13417569,6071775.416488148,0.25,336
110000,AG,0.36648000000000003,0.36225653992375983,0.3707034600762402,10038219.616990581,9909052.988195082,10167386.24578608,0.25,336
160000,AG,0.21526,0.21165746961989976,0.21886253038010026,12445911.224663962,12310165.209794553,12581657.23953337,0.25,336
210000,AG,0.12616000000000005,0.12324968572617863,0.12907031427382146,13866553.561799854,13729097.246731497,14004009.87686821,0.25,336
260000,AG,0.07479999999999998,0.07249414656134529,0.07710585343865467,14692948.055337867,14555315.575482206,14830580.535193527,0.25,336
310000,AG,0.04374,0.04194737077210318,0.045532629227896824,15247358.532457212,15109379.514766596,15385337.550147828,0.25,336
360000,AG,0.02634000000000003,0.02493629890568041,0.02774370109431965,15579791.796151008,15441421.873017449,15718161.719284568,0.25,336
410000,AG,0.01644000000000001,0.015325411841912094,0.017554588158087928,15785317.344518434,15646913.97132178,15923720.717715088,0.25,336
460000,AG,0.009519999999999973,0.008668853302614559,0.010371146697385387,15950662.904246308,15812106.55060692,16089219.257885696,0.25,336
510000,AG,0.005800000000000027,0.005134399001123105,0.00646560099887695,16058511.430509211,15919983.088459697,16197039.772558726,0.25,336
560000,AG,0.0033800000000000496,0.0028712713011477993,0.0038887286988523,16146805.81561729,16008290.952895174,16285320.678339405,0.25,336
610000,AG,0.0022199999999999998,0.0018074686354641854,0.0026325313645358143,16212264.281782078,16073780.765115522,16350747.798448633,0.25,336
660000,AG,0.0013999999999999568,0.0010722649518380904,0.0017277350481618233,16277142.096458316,16138634.793512767,16415649.399403865,0.25,336
710000,AG,0.0008000000000000229,0.0005521811741247419,0.001047818825875304,16338008.26353479,16199507.075138789,16476509.451930791,0.25,336
760000,AG,0.00046000000000001595,0.00027205010216376283,0.0006479498978362691,16392194.900439797,16253710.950211437,16530678.850668157,0.25,336
810000,AG,0.000260000000000038,0.00011868336185970156,0.0004013166381403744,16446981.724648064,16308473.752884055,16585489.696412073,0.25,336
860000,AG,0.00012000000000000899,2.3987527739754023e-05,0.00021601247226026395,16498637.799942316,16360137.446928019,16637138.152956614,0.25,336
910000,AG,7.999999999996898e-05,1.6045766234786408e-06,0.00015839542337645933,16548733.522146137,16410233.940898525,16687233.10339375,0.25,336
960000,AG,4.0000000000040004e-05,-1.5435044239827896e-05,9.54350442399079e-05,16599234.140554346,16460737.126065738,16737731.155042954,0.25,336
10000,ES,0.98926,0.9883565160247266,0.9901634839752734,170478.5461241173,150694.91051500873,190262.18173322588,0.25,336
60000,ES,0.65822,0.6540625986890128,0.6623774013109872,5609273.856025086,5501049.599600646,5717498.112449526,0.25,336
110000,ES,0.38874,0.3844672676134398,0.39301273238656015,10077830.245697644,9944633.03691195,10211027.454483338,0.25,336
160000,ES,0.22629999999999995,0.22263231808126727,0.22996768191873262,12809559.946561858,12667838.593349716,12951281.299774,0.25,336
210000,ES,0.13207999999999998,0.12911228995233737,0.13504771004766258,14382034.184616912,14238437.972692521,14525630.396541303,0.25,336
260000,ES,0.07777999999999996,0.07543245283519749,0.08012754716480243,15278498.272499993,15134682.228385659,15422314.316614328,0.25,336
310000,ES,0.04569999999999996,0.04386952563649038,0.047530474363509545,15870011.885502778,15725865.528685719,16014158.242319837,0.25,336
360000,ES,0.027020000000000044,0.025598791756689027,0.02844120824331106,16240982.921845352,16096409.22414728,16385556.619543424,0.25,336
410000,ES,0.017159999999999953,0.01602168320853459,0.018298316791465315,16448404.605326863,16303856.363616593,16592952.847037133,0.25,336
460000,ES,0.009700000000000042,0.008840922498254198,0.010559077501745886,16629691.465699585,16484936.780089686,16774446.151309485,0.25,336
510000,ES,0.005820000000000047,0.005153259107198624,0.00648674089280147,16743222.182032658,16598470.87310467,16887973.490960646,0.25,336
560000,ES,0.0034999999999999476,0.002982350543284774,0.004017649456715121,16833243.01977013,16688531.7313302,16977954.308210064,0.25,336
610000,ES,0.0022799999999999487,0.0018619436240971546,0.002698056375902743,16900816.385293443,16756105.548897754,17045527.22168913,0.25,336
660000,ES,0.0013999999999999568,0.0010722649518380904,0.0017277350481618233,16968034.57456721,16823295.341571618,17112773.807562802,0.25,336
710000,ES,0.0007399999999999629,0.0005016483293759331,0.0009783516706239927,17029880.212878957,16885152.67709329,17174607.748664625,0.25,336
760000,ES,0.00046000000000001595,0.00027205010216376283,0.0006479498978362691,17083790.453879613,16939077.930540632,17228502.977218594,0.25,336
810000,ES,0.00027999999999994696,0.00013335026086464476,0.0004266497391352492,17138280.74986706,16993541.96150396,17283019.53823016,0.25,336
860000,ES,9.999999999998899e-05,1.2352128664609328e-05,0.00018764787133536865,17190266.43333453,17045537.130042873,17334995.736626185,0.25,336
910000,ES,7.999999999996898e-05,1.6045766234786408e-06,0.00015839542337645933,17240276.60479605,17095547.39160921,17385005.817982886,0.25,336
960000,ES,5.999999999994898e-05,-7.893107159717393e-06,0.00012789310715961535,17290432.084433515,17145703.960897278,17435160.20796975,0.25,336
10000,AG,0.97754,0.9762412210729738,0.9788387789270261,709690.422639559,651606.9352347945,767773.9100443235,0.4,336
60000,AG,0.60148,0.5971886024867783,0.6057713975132217,12289284.617853565,12072500.791428268,12506068.444278862,0.4,336
110000,AG,0.32077999999999995,0.31668859979010516,0.32487140020989475,20987865.829665136,20730004.652248923,21245727.00708135,0.4,336
160000,AG,0.16922000000000004,0.16593351275841367,0.1725064872415864,25722205.772107303,25454002.81239275,25990408.731821857,0.4,336
210000,AG,0.09001999999999999,0.08751130123050643,0.09252869876949354,28250020.34154038,27978179.5873842,28521861.09569656,0.4,336
260000,AG,0.046680000000000055,0.044830953364941695,0.048529046635058415,29682980.148359116,29409944.49870917,29956015.798009064,0.4,336
310000,AG,0.024639999999999995,0.02328116754539289,0.0259988324546071,30402428.374441557,30129313.3002334,30675543.448649712,0.4,336
360000,AG,0.013460000000000027,0.0124499497786183,0.014470050221381755,30796052.597291976,30522852.855650894,31069252.338933058,0.4,336
410000,AG,0.007460000000000022,0.006705765295512454,0.00821423470448759,31024316.682065245,30751187.246227834,31297446.117902655,0.4,336
460000,AG,0.0037599999999999856,0.003223537957398901,0.00429646204260107,31194075.604624067,30920936.357727386,31467214.851520747,0.4,336
510000,AG,0.0019000000000000128,0.0015182958189127163,0.002281704181087309,31302634.310288224,31029434.11775951,31575834.502816938,0.4,336
560000,AG,0.0010999999999999899,0.0008094502955571714,0.0013905497044428084,31377353.91493411,31104121.24423553,31650586.58563269,0.4,336
610000,AG,0.0006000000000000449,0.00038536112340769983,0.00081463887659239,31438613.663953863,31165428.19129408,31711799.136613645,0.4,336
660000,AG,0.00034000000000000696,0.00017840470759355366,0.0005015952924064602,31499132.18282382,31225949.92039394,31772314.445253696,0.4,336
710000,AG,0.00024000000000001798,0.00010422600772325039,0.00037577399227678557,31551597.426058035,31278417.835922584,31824777.016193487,0.4,336
760000,AG,5.999999999994898e-05,-7.893107159717393e-06,0.00012789310715961535,31610114.185737,31336888.36666118,31883340.004812818,0.4,336
810000,AG,4.0000000000040004e-05,-1.5435044239827896e-05,9.54350442399079e-05,31660814.747249555,31387591.68547654,31934037.80902257,0.4,336
860000,AG,2.0000000000020002e-05,-1.919888769604379e-05,5.919888769608379e-05,31712930.082883213,31439694.367977727,31986165.7977887,0.4,336
910000,AG,0.0,0.0,0.0,31764565.833403505,31491325.89602539,32037805.77078162,0.4,336
960000,AG,0.0,0.0,0.0,31814565.833403505,31541325.89602539,32087805.77078162,0.4,336
10000,ES,0.99458,0.993936449557886,0.9952235504421141,190849.9045485252,158193.34404115335,223506.46505589705,0.4,336
60000,ES,0.70896,0.7049784672160789,0.7129415327839211,9671282.312699288,9464491.115632432,9878073.509766145,0.4,336
110000,ES,0.39876,0.39446816699171094,0.40305183300828906,20045572.64729773,19776085.50301069,20315059.791584767,0.4,336
160000,ES,0.21358,0.20998771607532027,0.21717228392467972,26262175.777740996,25974411.728204846,26549939.827277146,0.4,336
210000,ES,0.11326000000000003,0.11048220931477029,0.11603779068522976,29694463.38897683,29400695.894466333,29988230.88348733,0.4,336
260000,ES,0.05901999999999996,0.05695436830938747,0.06108563169061245,31584570.44165635,31289327.379941784,31879813.50337092,0.4,336
310000,ES,0.031059999999999977,0.02953940955554751,0.03258059044445245,32554044.18366825,32258554.828179497,32849533.539157,0.4,336
360000,ES,0.016660000000000008,0.015538104411766316,0.0177818955882337,33117029.252023462,32821054.37377831,33413004.130268615,0.4,336
410000,ES,0.009140000000000037,0.008305853493829242,0.009974146506170832,33410236.530966867,33114354.510512106,33706118.55142163,0.4,336
460000,ES,0.0047800000000000065,0.004175443931877302,0.005384556068122711,33616307.48444246,33320377.170553703,33912237.79833121,0.4,336
510000,ES,0.0023600000000000287,0.0019346895856485692,0.002785310414351488,33742187.02461201,33446188.778722025,34038185.27050199,0.4,336
560000,ES,0.0012400000000000189,0.000931535988790345,0.0015484640112096927,33825656.161770776,33529656.52140196,34121655.802139595,0.4,336
610000,ES,0.0007800000000000029,0.000535296067191602,0.001024703932808404,33889818.15718097,33593857.36960752,34185778.94475442,0.4,336
660000,ES,0.00038000000000004697,0.00020916676873573823,0.0005508332312643557,33952281.88683958,33656337.05297346,34248226.72070571,0.4,336
710000,ES,0.00024000000000001798,0.00010422600772325039,0.00037577399227678557,34007037.277875364,33711099.34038912,34302975.21536161,0.4,336
760000,ES,0.00012000000000000899,2.3987527739754023e-05,0.00021601247226026395,34063833.57574922,33767840.639605954,34359826.51189248,0.4,336
810000,ES,5.999999999994898e-05,-7.893107159717393e-06,0.00012789310715961535,34116160.243695624,33820170.995292105,34412149.49209914,0.4,336
860000,ES,2.0000000000020002e-05,-1.919888769604379e-05,5.919888769608379e-05,34168807.29076801,33872806.47842371,34464808.10311232,0.4,336
910000,ES,2.0000000000020002e-05,-1.919888769604379e-05,5.919888769608379e-05,34218806.29076801,33922805.469548024,34514807.111988,0.4,336
960000,ES,0.0,0.0,0.0,34270581.155110545,33974575.656926975,34566586.653294116,0.4,336
