,"u","t","&pi;_W","p","q","V_T"
"156",760000,336,.4e-1,.4e-1,.50,555627.2801
"157",810000,336,.4e-1,.4e-1,.50,599144.0919
"158",860000,336,.4e-1,.4e-1,.50,643165.7956
"159",910000,336,.4e-1,.4e-1,.50,687653.0719
"160",960000,336,.4e-1,.4e-1,.50,732569.6636
"161",10000,336,.4e-1,.4e-1,.75,52644.961
"162",60000,336,.4e-1,.4e-1,.75,431202.6180
"163",110000,336,.4e-1,.4e-1,.75,721415.6993
"164",160000,336,.4e-1,.4e-1,.75,946419.0494
"165",210000,336,.4e-1,.4e-1,.75,1123914.906
"166",260000,336,.4e-1,.4e-1,.75,1266799.947
"167",310000,336,.4e-1,.4e-1,.75,1384469.839
"168",360000,336,.4e-1,.4e-1,.75,1483769.644
"169",410000,336,.4e-1,.4e-1,.75,1569686.218
"170",460000,336,.4e-1,.4e-1,.75,1645852.656
"171",510000,336,.4e-1,.4e-1,.75,1714915.791
"172",560000,336,.4e-1,.4e-1,.75,1778803.929
"173",610000,336,.4e-1,.4e-1,.75,1838921.907
"174",660000,336,.4e-1,.4e-1,.75,1896293.196
"175",710000,336,.4e-1,.4e-1,.75,1951663.429
"176",760000,336,.4e-1,.4e-1,.75,2005575.826
"177",810000,336,.4e-1,.4e-1,.75,2058426.139
"178",860000,336,.4e-1,.4e-1,.75,2110502.688
"179",910000,336,.4e-1,.4e-1,.75,2162015.525
"180",960000,336,.4e-1,.4e-1,.75,2213117.677
"181",10000,336,.5e-1,.4e-1,.25,111.156
"182",60000,336,.5e-1,.4e-1,.25,1515.606
"183",110000,336,.5e-1,.4e-1,.25,3730.769
"184",160000,336,.5e-1,.4e-1,.25,6738.969
"185",210000,336,.5e-1,.4e-1,.25,10527.045
"186",260000,336,.5e-1,.4e-1,.25,15082.054
"187",310000,336,.5e-1,.4e-1,.25,20391.269
"188",360000,336,.5e-1,.4e-1,.25,26442.172
"189",410000,336,.5e-1,.4e-1,.25,33222.454
"190",460000,336,.5e-1,.4e-1,.25,40720.011
"191",510000,336,.5e-1,.4e-1,.25,48922.938
"192",560000,336,.5e-1,.4e-1,.25,57819.530
"193",610000,336,.5e-1,.4e-1,.25,67398.275
"194",660000,336,.5e-1,.4e-1,.25,77647.850
"195",710000,336,.5e-1,.4e-1,.25,88557.124
"196",760000,336,.5e-1,.4e-1,.25,100115.148
"197",810000,336,.5e-1,.4e-1,.25,112311.154
"198",860000,336,.5e-1,.4e-1,.25,125134.556
"199",910000,336,.5e-1,.4e-1,.25,138574.941
"200",960000,336,.5e-1,.4e-1,.25,152622.070
"201",10000,336,.5e-1,.4e-1,.50,506.295
"202",60000,336,.5e-1,.4e-1,.50,5948.204
"203",110000,336,.5e-1,.4e-1,.50,12849.611
"204",160000,336,.5e-1,.4e-1,.50,21137.169
"205",210000,336,.5e-1,.4e-1,.50,30766.296
"206",260000,336,.5e-1,.4e-1,.50,41693.845
"207",310000,336,.5e-1,.4e-1,.50,53878.055
"208",360000,336,.5e-1,.4e-1,.50,67278.509
"209",410000,336,.5e-1,.4e-1,.50,81856.090
"210",460000,336,.5e-1,.4e-1,.50,97572.938
"211",510000,336,.5e-1,.4e-1,.50,114392.412
"212",560000,336,.5e-1,.4e-1,.50,132279.049
"213",610000,336,.5e-1,.4e-1,.50,151198.527
"214",660000,336,.5e-1,.4e-1,.50,171117.627
"215",710000,336,.5e-1,.4e-1,.50,192004.199
"216",760000,336,.5e-1,.4e-1,.50,213827.126
"217",810000,336,.5e-1,.4e-1,.50,236556.293
"218",860000,336,.5e-1,.4e-1,.50,260162.555
"219",910000,336,.5e-1,.4e-1,.50,284617.700
"220",960000,336,.5e-1,.4e-1,.50,309894.427
"221",10000,336,.5e-1,.4e-1,.75,7046.9268
"222",60000,336,.5e-1,.4e-1,.75,73300.8781
